Ticker,Gsector
A,Healthcare
AA,Basic Materials
AAL,Industrials
AAME,Financial Services
AAN,Industrials
AAOI,Technology
AAON,Industrials
AAP,Consumer Cyclical
AAPL,Technology
AAT,Real Estate
ABBV,Healthcare
ABCB,Financial Services
ABEO,Healthcare
ABG,Consumer Cyclical
ABIO,Healthcare
ABM,Industrials
ABMD,
ABR,Real Estate
ABT,Healthcare
AC,Financial Services
ACA,Industrials
ACAD,Healthcare
ACCO,Industrials
ACGL,Financial Services
ACHC,Healthcare
ACHV,Healthcare
ACIW,Technology
ACLS,Technology
ACM,Industrials
ACMR,Technology
ACN,Technology
ACNB,Financial Services
ACOR,Healthcare
ACRE,Real Estate
ACRS,Healthcare
ACTG,Industrials
ACU,Consumer Defensive
ADBE,Technology
ADC,Real Estate
ADI,Technology
ADM,Consumer Defensive
ADMA,Healthcare
ADNT,Consumer Cyclical
ADP,Industrials
ADSK,Technology
ADT,Industrials
ADTN,Technology
ADUS,Healthcare
ADVM,Healthcare
ADXS,Healthcare
AE,Energy
AEE,Utilities
AEHR,Technology
AEIS,Industrials
AEL,Financial Services
AEMD,Healthcare
AEO,Consumer Cyclical
AEP,Utilities
AES,Utilities
AFG,Financial Services
AFL,Financial Services
AGCO,Industrials
AGE,Healthcare
AGEN,Healthcare
AGIO,Healthcare
AGM,Financial Services
AGNC,Real Estate
AGO,Financial Services
AGR,Utilities
AGRX,Healthcare
AGS,Consumer Cyclical
AGX,Industrials
AGYS,Technology
AHH,Real Estate
AHT,Real Estate
AIG,Financial Services
AIN,Consumer Cyclical
AINC,Financial Services
AIR,Industrials
AIRG,Technology
AIRI,Industrials
AIRT,Industrials
AIT,Industrials
AIV,Real Estate
AIZ,Financial Services
AJG,Financial Services
AJX,Real Estate
AKAM,Technology
AKBA,Healthcare
AKR,Real Estate
AKTS,Technology
AL,Industrials
ALB,Basic Materials
ALCO,Consumer Defensive
ALDX,Healthcare
ALE,Utilities
ALEC,Healthcare
ALEX,Real Estate
ALG,Industrials
ALGN,Healthcare
ALGT,Industrials
ALIM,Healthcare
ALK,Industrials
ALKS,Healthcare
ALL,Financial Services
ALLE,Industrials
ALLK,Healthcare
ALLO,Healthcare
ALLY,Financial Services
ALNY,Healthcare
ALOT,Technology
ALPN,Healthcare
ALRM,Technology
ALSN,Consumer Cyclical
ALT,Healthcare
ALTM,Basic Materials
ALTR,Technology
ALV,Consumer Cyclical
ALX,Real Estate
AM,Energy
AMAL,Financial Services
AMAT,Technology
AMBC,Financial Services
AMC,Communication Services
AMCX,Communication Services
AMD,Technology
AME,Industrials
AMED,Healthcare
AMG,Financial Services
AMGN,Healthcare
AMH,Real Estate
AMKR,Technology
AMN,Healthcare
AMNB,Financial Services
AMP,Financial Services
AMPE,Healthcare
AMPH,Healthcare
AMRC,Industrials
AMRK,Financial Services
AMRX,Healthcare
AMS,Healthcare
AMSC,Industrials
AMSF,Financial Services
AMSWA,Technology
AMT,Real Estate
AMTD,Financial Services
AMTX,Energy
AMWD,Consumer Cyclical
AMZN,Consumer Cyclical
AN,Consumer Cyclical
ANAB,Healthcare
ANDE,Consumer Defensive
ANET,Technology
ANF,Consumer Cyclical
ANGI,Communication Services
ANGO,Healthcare
ANIK,Healthcare
ANIP,Healthcare
ANIX,Healthcare
ANSS,Technology
AON,Financial Services
AOS,Industrials
AOSL,Technology
AP,Industrials
APA,Energy
APAM,Financial Services
APD,Basic Materials
APDN,Healthcare
APEI,Consumer Defensive
APH,Technology
APLE,Real Estate
APLS,Healthcare
APOG,Industrials
APPF,Technology
APPN,Technology
APPS,Technology
APT,Industrials
APTV,Consumer Cyclical
APVO,Healthcare
APYX,Healthcare
AQB,Consumer Defensive
AQMS,Industrials
AR,Energy
ARAY,Healthcare
ARC,Industrials
ARCB,Industrials
ARCH,Basic Materials
ARDX,Healthcare
ARE,Real Estate
ARES,Financial Services
ARI,Real Estate
ARKR,Consumer Cyclical
ARL,Real Estate
ARLO,Industrials
ARMK,Industrials
AROC,Energy
AROW,Financial Services
ARR,Real Estate
ARTNA,Utilities
ARTW,Industrials
ARVN,Healthcare
ARW,Technology
ARWR,Healthcare
ASB,Financial Services
ASGN,Technology
ASH,Basic Materials
ASIX,Basic Materials
ASMB,Healthcare
ASPN,Industrials
ASPS,Real Estate
ASRT,Healthcare
ASRV,Financial Services
ASTC,Industrials
ASTE,Industrials
ASUR,Technology
ASYS,Technology
ATEC,Healthcare
ATEN,Technology
ATGE,Consumer Defensive
ATI,Industrials
ATKR,Industrials
ATLC,Financial Services
ATLO,Financial Services
ATNI,Communication Services
ATNM,Healthcare
ATO,Utilities
ATOS,Healthcare
ATR,Healthcare
ATRA,Healthcare
ATRC,Healthcare
ATRI,Healthcare
ATRO,Industrials
ATSG,Industrials
ATUS,Communication Services
AUBN,Financial Services
AUMN,Basic Materials
AVA,Utilities
AVAV,Industrials
AVB,Real Estate
AVD,Basic Materials
AVGO,Technology
AVGR,Healthcare
AVNS,Healthcare
AVNW,Technology
AVRO,Healthcare
AVT,Technology
AVTR,Basic Materials
AVXL,Healthcare
AVY,Consumer Cyclical
AWI,Industrials
AWK,Utilities
AWR,Utilities
AWRE,Technology
AX,Financial Services
AXDX,Healthcare
AXGN,Healthcare
AXL,Consumer Cyclical
AXNX,Healthcare
AXP,Financial Services
AXR,Real Estate
AXS,Financial Services
AXSM,Healthcare
AXTA,Basic Materials
AXTI,Technology
AYI,Industrials
AYX,Technology
AZO,Consumer Cyclical
AZPN,Technology
AZZ,Industrials
B,Industrials
BA,Industrials
BAC,Financial Services
BAH,Industrials
BANC,Financial Services
BAND,Technology
BANF,Financial Services
BANR,Financial Services
BATRA,Communication Services
BATRK,Communication Services
BAX,Healthcare
BBCP,Industrials
BBGI,Communication Services
BBSI,Industrials
BBW,Consumer Cyclical
BBY,Consumer Cyclical
BC,Consumer Cyclical
BCBP,Financial Services
BCC,Basic Materials
BCLI,Healthcare
BCO,Industrials
BCOV,Technology
BCPC,Basic Materials
BCRX,Healthcare
BDC,Technology
BDL,Consumer Cyclical
BDN,Real Estate
BDSI,
BDX,Healthcare
BE,Industrials
BEAT,Healthcare
BECN,Industrials
BELFA,Technology
BELFB,Technology
BEN,Financial Services
BERY,Consumer Cyclical
BFAM,Consumer Cyclical
BFIN,Financial Services
BFS,Real Estate
BFST,Financial Services
BG,Consumer Defensive
BGFV,Consumer Cyclical
BGS,Consumer Defensive
BGSF,Industrials
BH,Consumer Cyclical
BHB,Financial Services
BHE,Technology
BHF,Financial Services
BHLB,Financial Services
BHR,Real Estate
BHVN,Healthcare
BIG,Consumer Defensive
BIIB,Healthcare
BIO,Healthcare
BIOL,Healthcare
BJ,Consumer Defensive
BJRI,Consumer Cyclical
BK,Financial Services
BKD,Healthcare
BKE,Consumer Cyclical
BKH,Utilities
BKNG,Consumer Cyclical
BKSC,Financial Services
BKTI,Technology
BKU,Financial Services
BL,Technology
BLBD,Consumer Cyclical
BLCM,Healthcare
BLD,Industrials
BLDR,Industrials
BLFS,Healthcare
BLK,Financial Services
BLKB,Technology
BLMN,Consumer Cyclical
BLUE,Healthcare
BMI,Technology
BMRC,Financial Services
BMRN,Healthcare
BMY,Healthcare
BNED,Consumer Cyclical
BOH,Financial Services
BOKF,Financial Services
BOOM,Energy
BOOT,Consumer Cyclical
BOTJ,Financial Services
BOX,Technology
BPMC,Healthcare
BPOP,Financial Services
BPRN,Financial Services
BPTH,Healthcare
BR,Technology
BRC,Industrials
BRID,Consumer Defensive
BRKL,Financial Services
BRKR,Healthcare
BRN,Energy
BRO,Financial Services
BRT,Real Estate
BRX,Real Estate
BRY,Energy
BSET,Consumer Cyclical
BSGM,Healthcare
BSRR,Financial Services
BSX,Healthcare
BTU,Energy
BURL,Consumer Cyclical
BUSE,Financial Services
BV,Industrials
BW,Industrials
BWA,Consumer Cyclical
BWEN,Industrials
BWFG,Financial Services
BWXT,Industrials
BXC,Industrials
BXMT,Real Estate
BXP,Real Estate
BY,Financial Services
BYD,Consumer Cyclical
BYFC,Financial Services
BYND,Consumer Defensive
BZH,Consumer Cyclical
C,Financial Services
CABO,Communication Services
CAC,Financial Services
CACC,Financial Services
CACI,Technology
CADE,Financial Services
CAG,Consumer Defensive
CAH,Healthcare
CAKE,Consumer Cyclical
CAL,Consumer Cyclical
CALA,Healthcare
CALM,Consumer Defensive
CALX,Technology
CAMP,Technology
CAPR,Healthcare
CAR,Industrials
CARA,Healthcare
CARG,Consumer Cyclical
CARS,Consumer Cyclical
CASA,Technology
CASH,Financial Services
CASI,Healthcare
CASS,Industrials
CASY,Consumer Cyclical
CAT,Industrials
CATC,Financial Services
CATO,Consumer Cyclical
CATY,Financial Services
CB,Financial Services
CBAN,Financial Services
CBAY,Healthcare
CBFV,Financial Services
CBOE,Financial Services
CBRE,Real Estate
CBRL,Consumer Cyclical
CBSH,Financial Services
CBT,Basic Materials
CBU,Financial Services
CBZ,Industrials
CC,Basic Materials
CCBG,Financial Services
CCI,Real Estate
CCK,Consumer Cyclical
CCL,Consumer Cyclical
CCNE,Financial Services
CCO,Communication Services
CCOI,Communication Services
CCRN,Healthcare
CCS,Consumer Cyclical
CDE,Basic Materials
CDLX,Communication Services
CDMO,Healthcare
CDNA,Healthcare
CDNS,Technology
CDTX,Healthcare
CDW,Technology
CDXC,Healthcare
CDXS,Healthcare
CDZI,Utilities
CE,Basic Materials
CEI,Energy
CEIX,Energy
CELC,Healthcare
CELH,Consumer Defensive
CENT,Consumer Defensive
CENTA,Consumer Defensive
CENX,Basic Materials
CERS,Healthcare
CETX,Technology
CEVA,Technology
CF,Basic Materials
CFBK,Financial Services
CFFI,Financial Services
CFFN,Financial Services
CFG,Financial Services
CFR,Financial Services
CGNX,Technology
CHCI,Real Estate
CHCO,Financial Services
CHCT,Real Estate
CHD,Consumer Defensive
CHDN,Consumer Cyclical
CHE,Healthcare
CHEF,Consumer Defensive
CHGG,Consumer Defensive
CHH,Consumer Cyclical
CHK,Energy
CHMG,Financial Services
CHMI,Real Estate
CHRS,Healthcare
CHRW,Industrials
CHTR,Communication Services
CHUY,Consumer Cyclical
CI,Healthcare
CIA,Financial Services
CIEN,Technology
CIM,Real Estate
CINF,Financial Services
CIO,Real Estate
CIVB,Financial Services
CIX,Industrials
CIZN,Financial Services
CKX,Energy
CL,Consumer Defensive
CLAR,Consumer Cyclical
CLB,Energy
CLDT,Real Estate
CLDX,Healthcare
CLF,Basic Materials
CLFD,Technology
CLH,Industrials
CLIR,Industrials
CLNE,Energy
CLPR,Real Estate
CLRB,Healthcare
CLRO,Technology
CLW,Basic Materials
CLX,Consumer Defensive
CMA,Financial Services
CMC,Basic Materials
CMCO,Industrials
CMCSA,Communication Services
CMCT,Real Estate
CME,Financial Services
CMG,Consumer Cyclical
CMI,Industrials
CMP,Basic Materials
CMRX,Healthcare
CMS,Utilities
CMT,Basic Materials
CMTL,Technology
CNA,Financial Services
CNC,Healthcare
CNDT,Technology
CNFR,Financial Services
CNK,Communication Services
CNMD,Healthcare
CNNE,Consumer Cyclical
CNO,Financial Services
CNOB,Financial Services
CNP,
CNS,Financial Services
CNSL,Communication Services
CNTY,Consumer Cyclical
CNX,Energy
CNXN,Technology
CODA,Industrials
COF,Financial Services
COHN,Financial Services
COHR,Technology
COHU,Technology
COKE,Consumer Defensive
COLB,Financial Services
COLD,Real Estate
COLL,Healthcare
COLM,Consumer Cyclical
COMM,Technology
CONN,Consumer Cyclical
COO,Healthcare
COOP,Financial Services
COP,Energy
COR,Healthcare
CORR,Real Estate
CORT,Healthcare
COST,Consumer Defensive
COTY,Consumer Defensive
CPB,Consumer Defensive
CPE,Energy
CPF,Financial Services
CPHC,Consumer Cyclical
CPIX,Healthcare
CPK,Utilities
CPRI,Consumer Cyclical
CPRT,Industrials
CPRX,Healthcare
CPS,Consumer Cyclical
CPSH,Technology
CPSI,Healthcare
CPSS,Financial Services
CPT,Real Estate
CR,Industrials
CRAI,Industrials
CRBP,Healthcare
CRC,Energy
CRI,Consumer Cyclical
CRIS,Healthcare
CRK,Energy
CRL,Healthcare
CRM,Technology
CRMD,Healthcare
CRMT,Consumer Cyclical
CRNX,Healthcare
CROX,Consumer Cyclical
CRS,Industrials
CRUS,Technology
CRVL,Financial Services
CRVS,Healthcare
CRWS,Consumer Cyclical
CSCO,Technology
CSGP,Real Estate
CSGS,Technology
CSL,Industrials
CSPI,Technology
CSTR,Financial Services
CSV,Consumer Cyclical
CSWI,Industrials
CSX,Industrials
CTAS,Industrials
CTBI,Financial Services
CTHR,Consumer Cyclical
CTLT,Healthcare
CTMX,Healthcare
CTO,Real Estate
CTRE,Real Estate
CTRN,Consumer Cyclical
CTS,Technology
CTSH,Technology
CTSO,Healthcare
CUBE,Real Estate
CUBI,Financial Services
CUE,Healthcare
CULP,Consumer Cyclical
CURO,Financial Services
CUTR,Healthcare
CUZ,Real Estate
CVBF,Financial Services
CVCO,Consumer Cyclical
CVCY,Financial Services
CVGI,Consumer Cyclical
CVGW,Consumer Defensive
CVI,Energy
CVLT,Technology
CVLY,Financial Services
CVM,Healthcare
CVNA,Consumer Cyclical
CVR,Industrials
CVS,Healthcare
CVU,Industrials
CVV,Industrials
CVX,Energy
CW,Industrials
CWBC,Financial Services
CWBR,Healthcare
CWEN,Utilities
CWH,Consumer Cyclical
CWST,Industrials
CWT,Utilities
CXW,Industrials
CYAN,Consumer Defensive
CYCC,Healthcare
CYH,Healthcare
CYRX,Industrials
CYTK,Healthcare
CZNC,Financial Services
CZR,Consumer Cyclical
CZWI,Financial Services
D,Utilities
DAIO,Technology
DAKT,Technology
DAL,Industrials
DAN,Consumer Cyclical
DAR,Consumer Defensive
DARE,Healthcare
DBD,Technology
DBI,Consumer Cyclical
DBX,Technology
DCI,Industrials
DCO,Industrials
DCOM,Financial Services
DCPH,Healthcare
DD,Basic Materials
DDD,Technology
DDS,Consumer Cyclical
DE,Industrials
DEA,Real Estate
DECK,Consumer Cyclical
DEI,Real Estate
DELL,Technology
DENN,Consumer Cyclical
DFIN,Financial Services
DFS,Financial Services
DG,Consumer Defensive
DGICA,Financial Services
DGII,Technology
DGLY,Communication Services
DGX,Healthcare
DHI,Consumer Cyclical
DHIL,Financial Services
DHR,Healthcare
DHX,Technology
DIN,Consumer Cyclical
DIOD,Technology
DIS,Communication Services
DIT,Consumer Defensive
DJCO,Technology
DK,Energy
DKS,Consumer Cyclical
DLA,Consumer Cyclical
DLB,Industrials
DLHC,Industrials
DLR,Real Estate
DLTH,Consumer Cyclical
DLTR,Consumer Defensive
DLX,Communication Services
DMRC,Technology
DNLI,Healthcare
DNOW,Industrials
DOC,Real Estate
DOCU,Technology
DOMO,Technology
DOOR,Industrials
DORM,Consumer Cyclical
DOV,Industrials
DOW,Basic Materials
DPZ,Consumer Cyclical
DRH,Real Estate
DRI,Consumer Cyclical
DRQ,Energy
DRRX,Healthcare
DSKE,Industrials
DSS,Consumer Cyclical
DTE,Utilities
DUK,Utilities
DVA,Healthcare
DVAX,Healthcare
DVN,Energy
DWSN,Energy
DX,Real Estate
DXC,Technology
DXCM,Healthcare
DXLG,Consumer Cyclical
DXPE,Industrials
DXYN,Consumer Cyclical
DY,Industrials
DZSI,Technology
EA,Communication Services
EAF,Industrials
EARN,Financial Services
EAT,Consumer Cyclical
EB,Technology
EBAY,Consumer Cyclical
EBF,Industrials
EBMT,Financial Services
EBS,Healthcare
EBTC,Financial Services
ECL,Basic Materials
ECPG,Financial Services
ED,Utilities
EDIT,Healthcare
EDUC,Communication Services
EE,Energy
EEFT,Technology
EEX,Communication Services
EFC,Real Estate
EFOI,Consumer Cyclical
EFSC,Financial Services
EFX,Industrials
EGAN,Technology
EGBN,Financial Services
EGHT,Technology
EGLE,Industrials
EGP,Real Estate
EGRX,Healthcare
EGY,Energy
EHC,Healthcare
EHTH,Financial Services
EIG,Financial Services
EIGR,Healthcare
EIX,Utilities
EKSO,Healthcare
EL,Consumer Defensive
ELAN,Healthcare
ELF,Consumer Defensive
ELMD,Healthcare
ELOX,Healthcare
ELS,Real Estate
ELSE,Technology
EME,Industrials
EMKR,Technology
EML,Industrials
EMN,Basic Materials
EMR,Industrials
ENG,Industrials
ENPH,Technology
ENR,Industrials
ENS,Industrials
ENSG,Healthcare
ENSV,Energy
ENTA,Healthcare
ENTG,Technology
ENV,Technology
ENVA,Financial Services
ENZ,Healthcare
EOG,Energy
EOLS,Healthcare
EPAM,Technology
EPC,Consumer Defensive
EPM,Energy
EPR,Real Estate
EPRT,Real Estate
EQBK,Financial Services
EQC,Real Estate
EQH,Financial Services
EQIX,Real Estate
EQR,Real Estate
EQT,Energy
ERIE,Financial Services
ERII,Industrials
ES,Utilities
ESCA,Consumer Cyclical
ESE,Technology
ESGR,Financial Services
ESNT,Financial Services
ESP,Industrials
ESPR,Healthcare
ESRT,Real Estate
ESS,Real Estate
ESSA,Financial Services
ESTC,Technology
ETN,Industrials
ETR,Utilities
ETRN,Energy
ETSY,Consumer Cyclical
EVBG,Technology
EVBN,Financial Services
EVC,Communication Services
EVER,Communication Services
EVFM,Healthcare
EVH,Healthcare
EVI,Industrials
EVOK,Healthcare
EVOL,Technology
EVR,Financial Services
EVRG,Utilities
EVRI,Consumer Cyclical
EVTC,Technology
EW,Healthcare
EWBC,Financial Services
EXAS,Healthcare
EXC,Utilities
EXEL,Healthcare
EXLS,Technology
EXP,Basic Materials
EXPD,Industrials
EXPE,Consumer Cyclical
EXPI,Real Estate
EXPO,Industrials
EXPR,Consumer Cyclical
EXR,Real Estate
EXTR,Technology
EYE,Consumer Cyclical
EYPT,Healthcare
EZPW,Financial Services
F,Consumer Cyclical
FAF,Financial Services
FANG,Energy
FARM,Consumer Defensive
FARO,Technology
FAST,Industrials
FATE,Healthcare
FBIO,Healthcare
FBIZ,Financial Services
FBK,Financial Services
FBMS,Financial Services
FBNC,Financial Services
FBP,Financial Services
FC,Consumer Defensive
FCAP,Financial Services
FCBC,Financial Services
FCCO,Financial Services
FCEL,Industrials
FCF,Financial Services
FCFS,Financial Services
FCN,Industrials
FCNCA,Financial Services
FCPT,Real Estate
FCX,Basic Materials
FDBC,Financial Services
FDP,Consumer Defensive
FDS,Financial Services
FDX,Industrials
